"Species name","IUCN","FUSE","EDGE2"
"Acroteriobatus_annulatus","3","1","1"
"Acroteriobatus_blochii","1","1","1"
"Acroteriobatus_leucospilus","4","1","1"
"Acroteriobatus_ocellatus","5","1","2"
"Acroteriobatus_salalah","2","1","1"
"Acroteriobatus_variegatus","5","2","2"
"Acroteriobatus_zanzibarens","1","1","1"
"Aculeola_nigra","2","1","1"
"Aetobatus_flagellum","4","3","3"
"Aetobatus_narinari","4","2","3"
"Aetomylaeus_asperrimus","1","1","1"
"Aetomylaeus_bovinus","1","4","1"
"Aetomylaeus_maculatus","4","4","2"
"Aetomylaeus_nichofii","3","1","1"
"Aetomylaeus_vespertilio","4","2","2"
"Alopias_pelagicus","4","2","2"
"Alopias_superciliosus","3","1","1"
"Alopias_vulpinus","3","1","1"
"Amblyraja_hyperborea","1","1","1"
"Amblyraja_doellojuradoi","1","1","1"
"Amblyraja_radiata","3","1","1"
"Anacanthobatis_marmorata","1","1","1"
"Anoxypristis_cuspidata","1","1","1"
"Apristurus_albisoma","1","1","1"
"Apristurus_ampliceps","1","1","1"
"Apristurus_aphyodes","4","2","4"
"Apristurus_australis","1","1","1"
"Apristurus_brunneus","1","1","1"
"Apristurus_bucephalus","1","1","1"
"Apristurus_canutus","1","1","1"
"Apristurus_exsanguis","1","1","1"
"Apristurus_fedorovi","1","1","1"
"Apristurus_gibbosus","1","1","1"
"Apristurus_herklotsi","1","1","1"
"Apristurus_indicus","1","1","1"
"Apristurus_investigatoris","1","1","1"
"Apristurus_japonicus","1","1","1"
"Apristurus_kampae","1","1","1"
"Apristurus_laurussonii","1","1","1"
"Apristurus_longicephalus","1","1","1"
"Apristurus_macrorhynchus","1","1","1"
"Apristurus_macrostomus","1","1","1"
"Apristurus_manis","1","1","1"
"Apristurus_melanoasper","1","1","1"
"Apristurus_microps","1","1","1"
"Apristurus_nasutus","1","1","1"
"Apristurus_parvipinnis","1","1","1"
"Apristurus_pinguis","1","1","1"
"Apristurus_platyrhynchus","1","1","1"
"Apristurus_profundorum","1","1","1"
"Apristurus_riveri","1","1","1"
"Apristurus_saldanha","1","1","1"
"Apristurus_sinensis","1","1","1"
"Apristurus_spongiceps","1","1","1"
"Apristurus_stenseni","1","1","1"
"Aptychotrema_rostrata","1","1","1"
"Aptychotrema_timorensis","1","1","1"
"Aptychotrema_vincentiana","1","1","1"
"Arhynchobatis_asperrimus","1","1","1"
"Asymbolus_analis","3","1","1"
"Asymbolus_funebris","1","1","1"
"Asymbolus_galacticus","1","1","1"
"Asymbolus_occiduus","1","1","1"
"Asymbolus_pallidus","1","1","1"
"Asymbolus_parvus","1","1","1"
"Asymbolus_rubiginosus","1","1","1"
"Asymbolus_submaculatus","1","1","1"
"Asymbolus_vincenti","1","1","1"
"Atelomycterus_baliensis","1","1","1"
"Atelomycterus_fasciatus","1","1","1"
"Atelomycterus_macleayi","1","1","1"
"Atelomycterus_marmoratus","1","1","1"
"Atelomycterus_marnkalha","1","1","1"
"Atlantoraja_castelnaui","1","1","1"
"Atlantoraja_cyclophora","2","1","1"
"Atlantoraja_platana","1","1","1"
"Aulohalaelurus_kanakorum","5","1","2"
"Aulohalaelurus_labiosus","4","1","1"
"Bathyraja_abyssicola","4","1","1"
"Bathyraja_albomaculata","1","1","1"
"Bathyraja_aleutica","1","1","1"
"Bathyraja_andriashevi","1","1","1"
"Bathyraja_bergi","1","1","1"
"Bathyraja_brachyurops","1","1","1"
"Bathyraja_cousseauae","1","1","1"
"Bathyraja_diplotaenia","1","1","1"
"Bathyraja_eatonii","2","1","1"
"Bathyraja_fedorovi","1","1","1"
"Bathyraja_griseocauda","1","1","1"
"Bathyraja_hesperafricana","1","1","1"
"Bathyraja_interrupta","1","1","1"
"Bathyraja_irrasa","4","1","1"
"Bathyraja_ishiharai","1","1","1"
"Bathyraja_isotrachys","1","1","1"
"Bathyraja_leucomelanos","3","1","1"
"Bathyraja_lindbergi","1","1","1"
"Bathyraja_maccaini","1","1","1"
"Bathyraja_macloviana","1","1","1"
"Bathyraja_maculata","1","1","1"
"Bathyraja_magellanica","1","1","1"
"Bathyraja_mariposa","1","1","1"
"Bathyraja_matsubarai","1","1","1"
"Bathyraja_meridionalis","1","1","1"
"Bathyraja_trachura","1","1","1"
"Bathyraja_minispinosa","1","1","1"
"Bathyraja_multispinis","1","1","1"
"Bathyraja_murrayi","1","1","1"
"Bathyraja_pallida","1","1","1"
"Bathyraja_panthera","1","1","1"
"Bathyraja_papilionifera","1","1","1"
"Bathyraja_parmifera","1","1","1"
"Bathyraja_peruana","1","1","1"
"Bathyraja_richardsoni","1","1","1"
"Bathyraja_scaphiops","1","1","1"
"Bathyraja_schroederi","1","1","1"
"Bathyraja_shuntovi","1","1","1"
"Bathyraja_smirnovi","1","1","1"
"Bathyraja_smithii","1","1","1"
"Bathyraja_spinicauda","2","1","1"
"Bathyraja_spinosissima","1","1","1"
"Bathyraja_taranetzi","2","1","1"
"Bathyraja_trachouros","1","1","1"
"Bathyraja_tunae","1","1","1"
"Bathyraja_tzinovskii","2","1","1"
"Bathyraja_violacea","1","1","1"
"Dasyatis_brevicaudata","1","1","1"
"Dasyatis_centroura","1","1","1"
"Dasyatis_lata","1","1","1"
"Benthobatis_kreffti","3","1","1"
"Benthobatis_marcida","1","1","1"
"Benthobatis_moresbyi","1","1","1"
"Benthobatis_yangi","3","1","1"
"Raja_binoculata","3","1","1"
"Raja_cortezensis","1","1","1"
"Raja_pulchra","1","1","1"
"Raja_rhina","1","1","1"
"Brachaelurus_colcloughi","1","1","1"
"Brachaelurus_waddi","1","1","1"
"Breviraja_claramaculata","1","1","1"
"Breviraja_colesi","1","1","1"
"Breviraja_nigriventralis","1","1","1"
"Breviraja_spinosa","1","1","1"
"Himantura_imbricata","1","1","1"
"Himantura_walga","1","1","1"
"Brochiraja_aenigma","1","1","1"
"Brochiraja_albilabiata","1","1","1"
"Brochiraja_asperula","1","1","1"
"Brochiraja_heuresa","3","1","1"
"Brochiraja_leviveneta","1","1","1"
"Brochiraja_microspinifera","1","1","1"
"Brochiraja_spinifera","2","1","1"
"Brochiraja_vittacauda","1","1","1"
"Bythaelurus_alcockii","1","1","1"
"Bythaelurus_canescens","1","1","1"
"Bythaelurus_dawsoni","4","1","1"
"Bythaelurus_giddingsi","3","1","1"
"Bythaelurus_hispidus","2","1","1"
"Bythaelurus_immaculatus","3","1","1"
"Bythaelurus_incanus","4","1","1"
"Bythaelurus_lutarius","3","1","1"
"Carcharhinus_acronotus","5","4","1"
"Carcharhinus_albimarginatus","3","1","1"
"Carcharhinus_altimus","3","1","1"
"Carcharhinus_amblyrhynchoides","1","1","1"
"Carcharhinus_amblyrhynchos","5","3","1"
"Carcharhinus_amboinensis","1","1","1"
"Carcharhinus_borneensis","4","1","1"
"Carcharhinus_brachyurus","3","1","1"
"Carcharhinus_brevipinna","1","1","1"
"Carcharhinus_cautus","1","1","1"
"Carcharhinus_cerdale","5","3","1"
"Carcharhinus_coatesi","2","1","1"
"Carcharhinus_dussumieri","4","3","1"
"Carcharhinus_falciformis","3","1","1"
"Carcharhinus_fitzroyensis","3","1","1"
"Carcharhinus_galapagensis","5","4","1"
"Carcharhinus_hemiodon","2","1","1"
"Carcharhinus_isodon","3","1","1"
"Carcharhinus_leiodon","4","1","1"
"Carcharhinus_leucas","1","4","1"
"Carcharhinus_limbatus","4","2","1"
"Carcharhinus_longimanus","5","3","1"
"Carcharhinus_macloti","3","1","1"
"Carcharhinus_melanopterus","4","1","2"
"Carcharhinus_obscurus","2","1","1"
"Carcharhinus_perezi","1","1","1"
"Carcharhinus_plumbeus","3","1","1"
"Carcharhinus_porosus","5","3","4"
"Carcharhinus_sealei","3","2","1"
"Carcharhinus_signatus","5","1","2"
"Carcharhinus_sorrah","4","1","2"
"Carcharhinus_tilstoni","4","2","1"
"Carcharhinus_tjutjot","4","2","1"
"Carcharias_taurus","3","1","1"
"Carcharodon_carcharias","1","1","1"
"Centrophorus_atromarginatus","4","1","2"
"Centrophorus_granulosus","4","1","1"
"Centrophorus_harrissoni","4","1","1"
"Centrophorus_isodon","1","1","1"
"Centrophorus_moluccensis","3","1","1"
"Centrophorus_seychellorum","1","1","1"
"Centrophorus_squamosus","1","1","1"
"Centrophorus_tessellatus","1","1","1"
"Centrophorus_westraliensis","1","1","1"
"Centroscyllium_fabricii","2","1","1"
"Centroscyllium_granulatum","1","1","1"
"Centroscyllium_kamoharai","3","1","1"
"Centroscyllium_nigrum","1","1","1"
"Centroscyllium_ornatum","5","2","1"
"Centroscyllium_ritteri","1","1","1"
"Centroscymnus_coelolepis","5","2","1"
"Centroscymnus_owstonii","1","1","1"
"Centroscymnus_crepidater","1","1","1"
"Cephaloscyllium_albipinnum","1","1","1"
"Cephaloscyllium_cooki","1","1","1"
"Cephaloscyllium_fasciatum","5","1","1"
"Cephaloscyllium_hiscosellum","1","1","1"
"Cephaloscyllium_isabellum","5","2","1"
"Cephaloscyllium_laticeps","1","1","1"
"Cephaloscyllium_pictum","1","1","1"
"Cephaloscyllium_sarawakensis","2","1","1"
"Cephaloscyllium_signourum","2","1","1"
"Cephaloscyllium_silasi","2","1","1"
"Cephaloscyllium_speccum","1","1","1"
"Cephaloscyllium_stevensi","1","1","1"
"Cephaloscyllium_sufflans","1","1","1"
"Cephaloscyllium_umbratile","4","4","3"
"Cephaloscyllium_variegatum","3","1","1"
"Cephaloscyllium_ventriosum","2","1","1"
"Cephaloscyllium_zebrum","3","1","1"
"Cephalurus_cephalus","3","1","1"
"Cetorhinus_maximus","4","1","1"
